City_id,City,City_lat,City_long,Date,Température max (°C),Vent max (m/s),Force vent,Angle vent (°),Indice UV,Icon,Emoji,Weather_description
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-07-13,25,6,4,169,7.0,10d,🌦️,Pluie intermittente
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-07-14,27,11,6,265,7.0,01d,☀️,Ciel dégagé
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-07-15,33,11,6,301,7.0,01d,☀️,Ciel dégagé
FR000028,Collioure,42.52505,3.0831554,2025-07-08,29,12,6,321,8.9,01d,☀️,Ciel dégagé
FR000028,Collioure,42.52505,3.0831554,2025-07-09,31,5,3,318,9.22,01d,☀️,Ciel dégagé
FR000028,Collioure,42.52505,3.0831554,2025-07-10,30,5,3,141,9.31,01d,☀️,Ciel dégagé
FR000028,Collioure,42.52505,3.0831554,2025-07-11,28,5,3,143,8.87,10d,🌦️,Pluie intermittente
FR000028,Collioure,42.52505,3.0831554,2025-07-12,28,5,3,141,6.99,10d,🌦️,Pluie intermittente
FR000028,Collioure,42.52505,3.0831554,2025-07-13,30,4,3,107,7.0,10d,🌦️,Pluie intermittente
FR000028,Collioure,42.52505,3.0831554,2025-07-14,33,7,4,297,7.0,10d,🌦️,Pluie intermittente
FR000028,Collioure,42.52505,3.0831554,2025-07-15,33,10,5,321,7.0,10d,🌦️,Pluie intermittente
FR000029,Carcassonne,43.2130358,2.3491069,2025-07-08,30,9,5,304,8.93,01d,☀️,Ciel dégagé
FR000029,Carcassonne,43.2130358,2.3491069,2025-07-09,32,5,3,318,9.27,01d,☀️,Ciel dégagé
FR000029,Carcassonne,43.2130358,2.3491069,2025-07-10,36,4,3,317,9.5,01d,☀️,Ciel dégagé
FR000029,Carcassonne,43.2130358,2.3491069,2025-07-11,32,7,4,85,8.96,10d,🌦️,Pluie intermittente
FR000029,Carcassonne,43.2130358,2.3491069,2025-07-12,28,8,5,95,7.33,10d,🌦️,Pluie intermittente
FR000029,Carcassonne,43.2130358,2.3491069,2025-07-13,33,6,4,101,8.0,10d,🌦️,Pluie intermittente
FR000029,Carcassonne,43.2130358,2.3491069,2025-07-14,38,7,4,214,8.0,10d,🌦️,Pluie intermittente
FR000029,Carcassonne,43.2130358,2.3491069,2025-07-15,31,8,5,295,8.0,10d,🌦️,Pluie intermittente
